r,l,t,m,f,y,RateOfUseByTechnologyByMode
RE1,S21,PWRWND,1,WND,2038,0.0
RE1,S21,PWRWND,1,WND,2039,0.0
RE1,S21,PWRWND,1,WND,2040,0.0
RE1,S22,PWRCOA,1,COA,2020,0.0
RE1,S22,PWRCOA,1,COA,2021,0.0
RE1,S22,PWRCOA,1,COA,2022,0.0
RE1,S22,PWRCOA,1,COA,2023,0.0
RE1,S22,PWRCOA,1,COA,2024,0.0
RE1,S22,PWRCOA,1,COA,2025,0.0
RE1,S22,PWRCOA,1,COA,2026,0.0
RE1,S22,PWRCOA,1,COA,2027,0.0
RE1,S22,PWRCOA,1,COA,2028,0.0
RE1,S22,PWRCOA,1,COA,2029,0.0
RE1,S22,PWRCOA,1,COA,2030,0.0
RE1,S22,PWRCOA,1,COA,2031,0.0
RE1,S22,PWRCOA,1,COA,2032,0.0
RE1,S22,PWRCOA,1,COA,2033,0.0
RE1,S22,PWRCOA,1,COA,2034,0.0
RE1,S22,PWRCOA,1,COA,2035,0.0
RE1,S22,PWRCOA,1,COA,2036,0.0
RE1,S22,PWRCOA,1,COA,2037,0.0
RE1,S22,PWRCOA,1,COA,2038,0.0
RE1,S22,PWRCOA,1,COA,2039,0.0
RE1,S22,PWRCOA,1,COA,2040,0.0
RE1,S22,PWRGAS,1,GAS,2020,543.5294
RE1,S22,PWRGAS,1,GAS,2021,559.8353
RE1,S22,PWRGAS,1,GAS,2022,576.6304
RE1,S22,PWRGAS,1,GAS,2023,593.9293
RE1,S22,PWRGAS,1,GAS,2024,611.7471
RE1,S22,PWRGAS,1,GAS,2025,630.0996
RE1,S22,PWRGAS,1,GAS,2026,649.0025
RE1,S22,PWRGAS,1,GAS,2027,668.4726
RE1,S22,PWRGAS,1,GAS,2028,688.5268
RE1,S22,PWRGAS,1,GAS,2029,709.1826
RE1,S22,PWRGAS,1,GAS,2030,730.4581
RE1,S22,PWRGAS,1,GAS,2031,752.3718
RE1,S22,PWRGAS,1,GAS,2032,774.943
RE1,S22,PWRGAS,1,GAS,2033,798.1913
RE1,S22,PWRGAS,1,GAS,2034,822.137
RE1,S22,PWRGAS,1,GAS,2035,846.8011
RE1,S22,PWRGAS,1,GAS,2036,872.2052
RE1,S22,PWRGAS,1,GAS,2037,898.3713
RE1,S22,PWRGAS,1,GAS,2038,925.3224
RE1,S22,PWRGAS,1,GAS,2039,953.0821
RE1,S22,PWRGAS,1,GAS,2040,981.6746
RE1,S22,PWRHYD,1,HYD,2020,0.0
RE1,S22,PWRHYD,1,HYD,2021,0.0
RE1,S22,PWRHYD,1,HYD,2022,0.0
RE1,S22,PWRHYD,1,HYD,2023,0.0
RE1,S22,PWRHYD,1,HYD,2024,0.0
RE1,S22,PWRHYD,1,HYD,2025,0.0
RE1,S22,PWRHYD,1,HYD,2026,0.0
RE1,S22,PWRHYD,1,HYD,2027,0.0
RE1,S22,PWRHYD,1,HYD,2028,0.0
RE1,S22,PWRHYD,1,HYD,2029,0.0
RE1,S22,PWRHYD,1,HYD,2030,0.0
RE1,S22,PWRHYD,1,HYD,2031,0.0
RE1,S22,PWRHYD,1,HYD,2032,0.0
RE1,S22,PWRHYD,1,HYD,2033,0.0
RE1,S22,PWRHYD,1,HYD,2034,0.0
RE1,S22,PWRHYD,1,HYD,2035,0.0
RE1,S22,PWRHYD,1,HYD,2036,0.0
RE1,S22,PWRHYD,1,HYD,2037,0.0
RE1,S22,PWRHYD,1,HYD,2038,0.0
RE1,S22,PWRHYD,1,HYD,2039,0.0
RE1,S22,PWRHYD,1,HYD,2040,0.0
RE1,S22,PWRSOL,1,SOL,2020,0.0
RE1,S22,PWRSOL,1,SOL,2021,0.0
RE1,S22,PWRSOL,1,SOL,2022,0.0
RE1,S22,PWRSOL,1,SOL,2023,0.0
RE1,S22,PWRSOL,1,SOL,2024,0.0
RE1,S22,PWRSOL,1,SOL,2025,0.0
RE1,S22,PWRSOL,1,SOL,2026,0.0
RE1,S22,PWRSOL,1,SOL,2027,0.0
RE1,S22,PWRSOL,1,SOL,2028,0.0
RE1,S22,PWRSOL,1,SOL,2029,0.0
RE1,S22,PWRSOL,1,SOL,2030,0.0
RE1,S22,PWRSOL,1,SOL,2031,0.0
RE1,S22,PWRSOL,1,SOL,2032,0.0
RE1,S22,PWRSOL,1,SOL,2033,0.0
RE1,S22,PWRSOL,1,SOL,2034,0.0
RE1,S22,PWRSOL,1,SOL,2035,0.0
RE1,S22,PWRSOL,1,SOL,2036,0.0
RE1,S22,PWRSOL,1,SOL,2037,0.0
RE1,S22,PWRSOL,1,SOL,2038,0.0
RE1,S22,PWRSOL,1,SOL,2039,0.0
RE1,S22,PWRSOL,1,SOL,2040,0.0
RE1,S22,PWRTRN,1,ELC001,2020,271.7647
RE1,S22,PWRTRN,1,ELC001,2021,279.9176
RE1,S22,PWRTRN,1,ELC001,2022,288.3152
RE1,S22,PWRTRN,1,ELC001,2023,296.9646
RE1,S22,PWRTRN,1,ELC001,2024,305.8736
RE1,S22,PWRTRN,1,ELC001,2025,315.0498
RE1,S22,PWRTRN,1,ELC001,2026,324.5013
RE1,S22,PWRTRN,1,ELC001,2027,334.2363
RE1,S22,PWRTRN,1,ELC001,2028,344.2634
RE1,S22,PWRTRN,1,ELC001,2029,354.5913
RE1,S22,PWRTRN,1,ELC001,2030,365.229
