r,t,y,AnnualVariableOperatingCost
RE1,PWRSOL,2030,0.0004
RE1,PWRSOL,2031,0.0004
RE1,PWRSOL,2032,0.0004
RE1,PWRSOL,2033,0.0004
RE1,PWRSOL,2034,0.0004
RE1,PWRSOL,2035,0.0004
RE1,PWRTRN,2020,0.01
RE1,PWRTRN,2021,0.0103
RE1,PWRTRN,2022,0.0105
RE1,PWRTRN,2023,0.0108
RE1,PWRTRN,2024,0.011
RE1,PWRTRN,2025,0.0113
RE1,PWRTRN,2026,0.0116
RE1,PWRTRN,2027,0.0119
RE1,PWRTRN,2028,0.0122
RE1,PWRTRN,2029,0.0125
RE1,PWRTRN,2030,0.0128
RE1,PWRTRN,2031,0.0131
RE1,PWRTRN,2032,0.0134
RE1,PWRTRN,2033,0.0138
RE1,PWRTRN,2034,0.0141
RE1,PWRTRN,2035,0.0145
RE1,PWRWND,2020,0.001
RE1,PWRWND,2021,0.0022
RE1,PWRWND,2022,0.0022
RE1,PWRWND,2023,0.0023
RE1,PWRWND,2024,0.0009
RE1,PWRWND,2025,0.0009
RE1,PWRWND,2026,0.0009
RE1,PWRWND,2027,0.0014
RE1,PWRWND,2028,0.0022
RE1,PWRWND,2029,0.0029
RE1,PWRWND,2030,0.0071
RE1,PWRWND,2031,0.007
RE1,PWRWND,2032,0.0075
RE1,PWRWND,2033,0.0075
RE1,PWRWND,2034,0.0077
RE1,PWRWND,2035,0.008
