t,f,m,y,InputActivityRatio,l,YearSplit,r,RateOfActivity,UseByTechnology
LNDRICHR,LND,1,2033,1.0,S11,0.45,RE1,0.0,0.0
LNDRICHR,LND,1,2034,1.0,S11,0.45,RE1,94.2222,42.4
LNDRICHR,LND,1,2035,1.0,S11,0.45,RE1,0.0,0.0
LNDRICHR,WTRPRC,1,2020,1.2,S11,2.0,RE1,0.0,0.0
LNDRICHR,WTRPRC,1,2021,1.2,S11,2.0,RE1,15.4,36.96
LNDRICHR,WTRPRC,1,2022,1.2,S11,2.0,RE1,15.75,37.8
LNDRICHR,WTRPRC,1,2023,1.2,S11,2.0,RE1,16.15,38.76
LNDRICHR,WTRPRC,1,2024,1.2,S11,0.45,RE1,0.0,0.0
LNDRICHR,WTRPRC,1,2025,1.2,S11,0.45,RE1,0.0,0.0
LNDRICHR,WTRPRC,1,2026,1.2,S11,0.45,RE1,0.0,0.0
LNDRICHR,WTRPRC,1,2027,1.2,S11,0.45,RE1,0.0,0.0
LNDRICHR,WTRPRC,1,2028,1.2,S11,0.45,RE1,81.3333,43.92
LNDRICHR,WTRPRC,1,2029,1.2,S11,0.45,RE1,83.3333,45.0
LNDRICHR,WTRPRC,1,2030,1.2,S11,0.45,RE1,0.0,0.0
LNDRICHR,WTRPRC,1,2031,1.2,S11,0.45,RE1,87.5556,47.28
LNDRICHR,WTRPRC,1,2032,1.2,S11,0.45,RE1,0.0,0.0
LNDRICHR,WTRPRC,1,2033,1.2,S11,0.45,RE1,0.0,0.0
LNDRICHR,WTRPRC,1,2034,1.2,S11,0.45,RE1,94.2222,50.88
LNDRICHR,WTRPRC,1,2035,1.2,S11,0.45,RE1,0.0,0.0
LNDWAT,LND,1,2020,1.0,S11,2.0,RE1,0.0,0.0
LNDWAT,LND,1,2021,1.0,S11,2.0,RE1,17.5,35.0
LNDWAT,LND,1,2022,1.0,S11,2.0,RE1,17.5,35.0
LNDWAT,LND,1,2023,1.0,S11,2.0,RE1,17.5,35.0
LNDWAT,LND,1,2024,1.0,S11,0.45,RE1,0.0,0.0
LNDWAT,LND,1,2025,1.0,S11,0.45,RE1,0.0,0.0
LNDWAT,LND,1,2026,1.0,S11,0.45,RE1,88.8889,40.0
LNDWAT,LND,1,2027,1.0,S11,0.45,RE1,0.0,0.0
LNDWAT,LND,1,2028,1.0,S11,0.45,RE1,88.8889,40.0
LNDWAT,LND,1,2029,1.0,S11,0.45,RE1,88.8889,40.0
LNDWAT,LND,1,2030,1.0,S11,0.45,RE1,88.8889,40.0
LNDWAT,LND,1,2031,1.0,S11,0.45,RE1,88.8889,40.0
LNDWAT,LND,1,2032,1.0,S11,0.45,RE1,88.8889,40.0
LNDWAT,LND,1,2033,1.0,S11,0.45,RE1,0.0,0.0
LNDWAT,LND,1,2034,1.0,S11,0.45,RE1,88.8889,40.0
LNDWAT,LND,1,2035,1.0,S11,0.45,RE1,88.8889,40.0
LNDWAT,WTRPRC,1,2020,1.2,S11,2.0,RE1,0.0,0.0
LNDWAT,WTRPRC,1,2021,1.2,S11,2.0,RE1,17.5,42.0
LNDWAT,WTRPRC,1,2022,1.2,S11,2.0,RE1,17.5,42.0
LNDWAT,WTRPRC,1,2023,1.2,S11,2.0,RE1,17.5,42.0
LNDWAT,WTRPRC,1,2024,1.2,S11,0.45,RE1,0.0,0.0
LNDWAT,WTRPRC,1,2025,1.2,S11,0.45,RE1,0.0,0.0
LNDWAT,WTRPRC,1,2026,1.2,S11,0.45,RE1,88.8889,48.0
LNDWAT,WTRPRC,1,2027,1.2,S11,0.45,RE1,0.0,0.0
LNDWAT,WTRPRC,1,2028,1.2,S11,0.45,RE1,88.8889,48.0
LNDWAT,WTRPRC,1,2029,1.2,S11,0.45,RE1,88.8889,48.0
LNDWAT,WTRPRC,1,2030,1.2,S11,0.45,RE1,88.8889,48.0
LNDWAT,WTRPRC,1,2031,1.2,S11,0.45,RE1,88.8889,48.0
LNDWAT,WTRPRC,1,2032,1.2,S11,0.45,RE1,88.8889,48.0
LNDWAT,WTRPRC,1,2033,1.2,S11,0.45,RE1,0.0,0.0
LNDWAT,WTRPRC,1,2034,1.2,S11,0.45,RE1,88.8889,48.0
LNDWAT,WTRPRC,1,2035,1.2,S11,0.45,RE1,88.8889,48.0
PWRCOA,COA,1,2020,3.0,S11,2.0,RE1,0.0,0.0
PWRCOA,COA,1,2021,3.0,S11,2.0,RE1,0.0,0.0
PWRCOA,COA,1,2022,3.0,S11,2.0,RE1,0.0,0.0
PWRCOA,COA,1,2023,3.0,S11,2.0,RE1,0.0,0.0
PWRCOA,COA,1,2024,3.0,S11,0.45,RE1,60.0272,81.0367
